                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.93795,                0.67083,                 1.0877,                0.74494,                0.56448,                0.64802,                0.40813,                 1.4676,                 1.2591,                 1.4454,               0.006535,               0.006535,               0.006535
                    107,                0.94208,                0.67709,                 1.0901,                0.71258,                0.58023,                0.64174,                0.40674,                 1.4621,                 1.2539,                 1.4445,               0.006502,               0.006502,               0.006502
                    108,                0.94427,                0.66682,                 1.0897,                0.74559,                0.56432,                0.64002,                0.40658,                 1.4611,                 1.2524,                 1.4446,               0.006469,               0.006469,               0.006469
                    109,                0.93687,                0.65937,                 1.0888,                0.75039,                0.55858,                0.63812,                 0.4067,                 1.4688,                 1.2623,                  1.455,               0.006436,               0.006436,               0.006436
                    110,                0.93115,                0.65978,                 1.0847,                0.78874,                0.54271,                 0.6381,                0.40514,                 1.4704,                 1.2735,                 1.4574,               0.006403,               0.006403,               0.006403
                    111,                 0.9373,                0.65965,                  1.089,                0.72568,                0.56493,                0.63736,                0.40597,                 1.4726,                  1.282,                 1.4559,                0.00637,                0.00637,                0.00637
                    112,                0.92357,                0.65241,                 1.0821,                0.77345,                0.55102,                0.63754,                0.40829,                 1.4741,                  1.278,                 1.4607,               0.006337,               0.006337,               0.006337
                    113,                0.92289,                0.65458,                 1.0851,                0.75666,                0.54835,                0.63546,                0.40784,                 1.4782,                 1.2869,                 1.4614,               0.006304,               0.006304,               0.006304
                    114,                0.92142,                0.65492,                 1.0829,                0.73772,                0.55668,                0.63705,                0.40755,                 1.4785,                 1.2932,                 1.4624,               0.006271,               0.006271,               0.006271
                    115,                 0.9221,                0.65069,                 1.0763,                0.73218,                0.56552,                0.63811,                0.40835,                 1.4686,                 1.2985,                 1.4537,               0.006238,               0.006238,               0.006238
                    116,                0.91942,                0.64695,                 1.0763,                0.72382,                0.56967,                0.63685,                0.40992,                 1.4695,                 1.2919,                 1.4541,               0.006205,               0.006205,               0.006205
                    117,                0.92771,                0.65164,                 1.0813,                0.74728,                0.56539,                0.63577,                0.40972,                 1.4699,                 1.2943,                 1.4546,               0.006172,               0.006172,               0.006172
                    118,                0.91648,                0.64688,                 1.0769,                0.70307,                0.58024,                0.63618,                0.40942,                 1.4759,                 1.2875,                 1.4636,               0.006139,               0.006139,               0.006139
                    119,                0.91429,                0.64621,                  1.077,                0.73817,                0.55972,                0.63876,                0.41172,                 1.4781,                 1.2766,                 1.4639,               0.006106,               0.006106,               0.006106
                    120,                0.90568,                0.64271,                 1.0742,                0.72669,                0.56781,                0.64404,                0.41423,                 1.4753,                 1.2702,                 1.4631,               0.006073,               0.006073,               0.006073
                    121,                0.90969,                0.63767,                 1.0699,                 0.7365,                0.56884,                0.64265,                0.41333,                 1.4757,                 1.2666,                 1.4609,                0.00604,                0.00604,                0.00604
                    122,                0.90789,                0.63688,                 1.0687,                0.71999,                0.57951,                0.64257,                0.41295,                 1.4704,                 1.2735,                 1.4585,               0.006007,               0.006007,               0.006007
                    123,                0.90269,                0.62949,                 1.0681,                0.73854,                0.57792,                0.64308,                0.41086,                 1.4788,                 1.2666,                 1.4667,               0.005974,               0.005974,               0.005974
                    124,                0.89912,                0.62731,                 1.0647,                0.74882,                0.57487,                0.64165,                0.41111,                 1.4812,                 1.2778,                 1.4681,               0.005941,               0.005941,               0.005941
                    125,                0.90118,                 0.6286,                 1.0676,                0.74515,                0.57115,                0.64038,                 0.4097,                 1.4857,                 1.2833,                  1.475,               0.005908,               0.005908,               0.005908
                    126,                0.89373,                0.62651,                 1.0641,                0.75216,                 0.5611,                 0.6399,                0.40896,                 1.4787,                 1.2824,                 1.4662,               0.005875,               0.005875,               0.005875
                    127,                0.89755,                 0.6299,                 1.0646,                0.74589,                0.57076,                0.63767,                0.40638,                 1.4757,                 1.2783,                 1.4688,               0.005842,               0.005842,               0.005842
                    128,                0.89495,                0.62485,                 1.0624,                0.72664,                0.57786,                0.64001,                0.40889,                  1.476,                 1.2769,                 1.4671,               0.005809,               0.005809,               0.005809
                    129,                0.89609,                0.62408,                 1.0615,                0.73322,                0.57086,                 0.6384,                0.40861,                 1.4748,                 1.2809,                 1.4629,               0.005776,               0.005776,               0.005776
                    130,                0.88597,                0.61794,                 1.0571,                0.73491,                0.56842,                 0.6389,                0.40841,                 1.4723,                 1.2861,                 1.4631,               0.005743,               0.005743,               0.005743
                    131,                0.88269,                0.61435,                 1.0573,                0.77574,                0.54763,                0.63955,                0.41096,                 1.4697,                 1.2819,                 1.4586,                0.00571,                0.00571,                0.00571
                    132,                0.88182,                0.61046,                 1.0535,                 0.7547,                0.56053,                0.64315,                0.41309,                 1.4627,                 1.2754,                 1.4536,               0.005677,               0.005677,               0.005677
                    133,                0.88307,                0.61838,                 1.0557,                0.80277,                0.54132,                0.64256,                 0.4157,                 1.4616,                 1.2743,                 1.4501,               0.005644,               0.005644,               0.005644
                    134,                0.87217,                 0.6037,                 1.0516,                0.77293,                0.55845,                0.64397,                0.41579,                 1.4626,                 1.2815,                 1.4495,               0.005611,               0.005611,               0.005611
                    135,                0.87383,                0.60681,                 1.0546,                0.77345,                0.55739,                0.64351,                0.41527,                 1.4657,                 1.2832,                 1.4531,               0.005578,               0.005578,               0.005578
                    136,                0.87698,                0.61114,                 1.0508,                0.75461,                0.56589,                0.64288,                0.41543,                  1.468,                 1.2756,                 1.4521,               0.005545,               0.005545,               0.005545
                    137,                0.87248,                0.60133,                 1.0488,                0.72985,                 0.5816,                0.64352,                0.41559,                 1.4693,                 1.2767,                 1.4513,               0.005512,               0.005512,               0.005512
                    138,                0.87202,                 0.6042,                 1.0512,                0.75332,                0.57383,                  0.645,                0.41636,                 1.4695,                 1.2694,                 1.4513,               0.005479,               0.005479,               0.005479
                    139,                0.87097,                0.59916,                 1.0468,                0.75515,                0.57343,                0.64563,                0.41718,                 1.4709,                 1.2747,                 1.4521,               0.005446,               0.005446,               0.005446
                    140,                 0.8611,                0.59722,                 1.0471,                 0.7508,                0.57127,                0.64658,                0.41551,                 1.4755,                 1.2766,                 1.4572,               0.005413,               0.005413,               0.005413
                    141,                0.86086,                0.59689,                 1.0452,                0.76278,                0.56781,                0.64597,                0.41513,                 1.4752,                 1.2737,                 1.4607,                0.00538,                0.00538,                0.00538
                    142,                0.86061,                0.59915,                 1.0475,                0.76281,                0.56798,                0.64562,                0.41527,                  1.477,                  1.274,                 1.4636,               0.005347,               0.005347,               0.005347
                    143,                0.86083,                0.59357,                  1.047,                0.74183,                0.58065,                0.64699,                0.41482,                 1.4808,                 1.2794,                 1.4685,               0.005314,               0.005314,               0.005314
                    144,                0.85667,                 0.5926,                 1.0436,                0.75028,                0.57837,                0.64849,                0.41577,                 1.4819,                 1.2752,                 1.4719,               0.005281,               0.005281,               0.005281
                    145,                0.84779,                0.59291,                 1.0406,                0.74949,                0.57046,                0.64781,                0.41579,                 1.4821,                 1.2699,                 1.4725,               0.005248,               0.005248,               0.005248
                    146,                0.85702,                0.59513,                 1.0444,                0.76538,                0.56313,                0.64583,                0.41544,                   1.48,                 1.2686,                 1.4721,               0.005215,               0.005215,               0.005215
                    147,                0.85725,                0.59813,                  1.044,                0.76126,                0.55755,                0.64541,                0.41542,                 1.4782,                 1.2759,                 1.4712,               0.005182,               0.005182,               0.005182
                    148,                0.85548,                0.59199,                 1.0422,                0.73126,                0.57158,                0.64469,                0.41496,                 1.4748,                 1.2776,                 1.4687,               0.005149,               0.005149,               0.005149
                    149,                0.84229,                 0.5833,                 1.0376,                 0.7462,                0.56295,                0.64412,                0.41422,                 1.4727,                  1.281,                 1.4689,               0.005116,               0.005116,               0.005116
                    150,                0.84185,                0.58171,                 1.0376,                0.75033,                 0.5606,                0.64363,                 0.4153,                 1.4713,                 1.2779,                 1.4691,               0.005083,               0.005083,               0.005083
                    151,                0.84242,                0.58452,                 1.0395,                0.75547,                0.55933,                0.64379,                0.41474,                 1.4707,                 1.2797,                  1.469,                0.00505,                0.00505,                0.00505
                    152,                 0.8484,                0.58401,                 1.0413,                0.76481,                0.55663,                0.64452,                0.41505,                 1.4706,                 1.2828,                 1.4695,               0.005017,               0.005017,               0.005017
                    153,                0.84375,                0.58276,                 1.0357,                0.74716,                0.56686,                0.64485,                0.41411,                 1.4702,                   1.28,                  1.469,               0.004984,               0.004984,               0.004984
